name,mission,city,state,website,phone,address
Dare to Care Food Bank,Provides food to the community,Louisville,KY,https://daretocare.org,502-966-3821,5803 Fern Valley Rd
St. Vincent de Paul Louisville,Homeless services and support,Louisville,KY,https://www.svdplou.org,502-584-2480,1015-C South Preston St
The Cabbage Patch Settlement House,Youth development and education,Louisville,KY,https://www.cabbagepatch.org,502-634-0811,1413 S 6th St
